name,fg,tp,ft,trb,ast,stl,blk,tov,pf,pts,w,l,img
Dallas Mavericks,.461,.367,.779,3520,1849,460,363,953,1462,8776,Wins: 43,Losses: 32,src/images/mavericks.png
Milwaukee Bucks,.476,.355,.742,3774,1889,526,429,1102,1431,8663,Wins: 56,Losses: 17,src/images/bucks.png
Portland TrailBlazers,.463,.377,.804,3353,1525,465,451,946,1606,8508,Wins: 35,Losses: 39,src/images/trailblazers.png
Houston Rockets,.451,.345,.791,3188,1557,627,371,1057,1566,8482,Wins: 44,Losses: 28,src/images/rockets.png
LosAngeles Clippers,.466,.371,.791,3431,1708,511,338,1051,1594,8377,Wins: 49,Losses: 23,src/images/clippers.png
NewOrleans Pelicans,.465,.370,.729,3348,1932,539,358,1181,1524,8341,Wins: 30,Losses: 42,src/images/pelicans.png
Phoenix Suns,.468,.358,.834,3177,1987,559,290,1077,1609,8294,Wins: 34,Losses: 39,src/images/suns.png
Washington Wizards,.457,.368,.788,3027,1801,574,309,1020,1634,8238,Wins: 25,Losses: 47,src/images/wizards.png
Memphis Grizzlies,.468,.347,.763,3397,1965,576,398,1113,1546,8222,Wins: 34,Losses: 39,src/images/grizzlies.png
Boston Celtics,.461,.364,.801,3317,1655,595,406,995,1553,8183,Wins: 48,Losses: 24,src/images/celtics.png
Miami Heat,.468,.379,.783,3239,1892,547,332,1088,1501,8179,Wins: 44,Losses: 29,src/images/heat.png
Denver Nuggets,.473,.359,.777,3222,1952,586,337,1005,1485,8124,Wins: 46,Losses: 27,src/images/nuggets.png
Toronto Raptors,.458,.374,.796,3268,1816,636,358,1067,1559,8118,Wins: 53,Losses: 19,src/images/raptors.png
SanAntonio Spurs,.472,.376,.810,3170,1751,518,390,895,1377,8098,Wins: 32,Losses: 39,src/images/spurs.png
Philadelphia SeventySixers,.468,.368,.755,3317,1884,586,389,1037,1529,8084,Wins: 43,Losses: 30,src/images/76ers.png
LosAngeles Lakers,.480,.349,.729,3247,1803,612,468,1077,1471,8054,Wins: 52,Losses: 19,src/images/lakers.png
Brooklyn Nets,.448,.343,.745,3449,1761,464,323,1099,1510,8048,Wins: 35,Losses: 37,src/images/nets.png
Utah Jazz,.471,.380,.779,3233,1615,438,292,1089,1468,8013,Wins: 44,Losses: 28,src/images/jazz.png
Indiana Pacers,.476,.363,.787,3125,1888,543,376,967,1445,7989,Wins: 45,Losses: 28,src/images/pacers.png
OklahomaCity Thunder,.468,.355,.796,3088,1562,550,353,986,1390,7950,Wins: 44,Losses: 28,src/images/thunder.png
Sacramento Kings,.462,.364,.770,3067,1713,556,293,1043,1595,7927,Wins: 31,Losses: 41,src/images/kings.png
Orlando Magic,.444,.343,.774,3249,1747,599,396,937,1336,7831,Wins: 33,Losses: 40,src/images/magic.png
Atlanta Hawks,.449,.333,.790,2898,1605,523,341,1086,1548,7488,Wins: 20,Losses: 47,src/images/hawks.png
Minnesota Timberwolves,.441,.336,.753,2868,1525,555,362,981,1370,7248,Wins: 19,Losses: 45,src/images/timberwolves.png
Detroit Pistons,.459,.367,.743,2753,1589,490,299,1008,1299,7078,Wins: 20,Losses: 46,src/images/pistons.png
NewYork Knicks,.447,.337,.694,3069,1456,504,313,946,1464,6983,Wins: 21,Losses: 45,src/images/knicks.png
Cleveland Cavaliers,.458,.351,.758,2876,1500,447,211,1073,1188,6948,Wins: 19,Losses: 46,src/images/cavaliers.png
Chicago Bulls,.447,.348,.755,2721,1510,652,265,1005,1417,6945,Wins: 22,Losses: 43,src/images/bulls.png
GoldenState Warriors,.438,.334,.803,2785,1663,534,299,969,1304,6912,Wins: 15,Losses: 50,src/images/warriors.png
Charlotte Hornets,.434,.352,.748,2781,1549,428,268,949,1223,6687,Wins: 23,Losses: 42,src/images/hornets.png
