season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.468,.368,.755,3317,1884,586,389,1037,1529,8084
2018-19,.471,.359,.771,3917,2207,606,432,1223,1745,9445
2017-18,.472,.369,.752,3889,2221,682,420,1353,1811,9004
2016-17,.442,.340,.771,3513,1949,692,420,1366,1793,8400
2015-16,.431,.339,.694,3382,1765,680,495,1343,1780,7988
2014-15,.408,.320,.676,3514,1683,789,487,1453,1778,7542
2013-14,.435,.312,.710,3505,1791,765,330,1384,1844,8155
2012-13,.444,.360,.729,3389,1867,609,384,1070,1505,7640
2011-12,.448,.362,.742,2848,1453,526,340,738,1157,6180
2010-11,.461,.355,.770,3428,1861,621,355,1063,1592,8119
2009-10,.460,.343,.756,3362,1723,667,439,1192,1677,8014
2008-09,.459,.318,.745,3375,1647,658,415,1157,1650,7987
2007-08,.460,.317,.706,3437,1673,712,400,1172,1620,7923
2006-07,.458,.345,.767,3252,1669,590,390,1258,1671,7785
2005-06,.458,.364,.760,3298,1653,651,404,1159,1712,8147
2004-05,.437,.348,.789,3445,1710,756,321,1274,1878,8128
2003-04,.428,.342,.753,3349,1640,654,358,1307,1701,7215
2002-03,.448,.311,.775,3457,1771,844,284,1212,1804,7941
2001-02,.436,.299,.779,3626,1638,705,363,1256,1645,7461
2000-01,.447,.326,.745,3675,1692,690,408,1292,1673,7763
