season,pts,reb,ast,stl,blk,to,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%
1,7.6,1.9,1.3,0.7,0.3,1.6,2.5,5.9,0.417,0.7,1.9,0.375,1.9,2.3,0.819
2,15.4,3.1,2.5,0.9,0.5,2,4.9,11.6,0.428,0.9,2.8,0.341,4.6,5.8,0.794
3,19.9,5.3,3.8,1.4,1,3.1,7.2,15.6,0.465,0.5,2,0.267,4.9,5.8,0.839
4,22.5,6.3,4.9,1.6,0.9,2.8,8.4,17.9,0.468,0.7,2.2,0.319,5,6.1,0.821
5,28.5,5.9,5,1.7,0.6,3.2,10.3,22.2,0.464,0.9,2.9,0.305,7,8.2,0.853
6,25.2,5.5,5.5,1.5,0.4,2.8,9.4,20,0.469,0.4,1.7,0.25,6.1,7.4,0.829
7,30,6.9,5.9,2.2,0.8,3.5,10.6,23.5,0.451,1.5,4,0.383,7.3,8.7,0.843
8,24,5.5,5.1,1.7,0.4,2.6,7.9,18.1,0.438,1.1,3.3,0.327,7,8.2,0.852
9,27.6,5.9,6,1.3,0.8,4.1,8.7,20.1,0.433,2,5.9,0.339,8.2,10.1,0.816
10,35.4,5.3,4.5,1.8,0.4,3.1,12.2,27.2,0.45,2.3,6.5,0.347,8.7,10.2,0.85
11,31.6,5.7,5.4,1.4,0.5,3.3,10.6,22.8,0.463,1.8,5.2,0.344,8.7,10,0.868
12,28.3,6.3,5.4,1.8,0.5,3.1,9.5,20.6,0.459,1.8,5.1,0.361,7.6,9,0.84
13,26.8,5.2,4.9,1.5,0.5,2.6,9.8,20.9,0.467,1.4,4.1,0.351,5.9,6.9,0.856
14,27,5.4,5,1.5,0.3,3.2,9.8,21.5,0.456,1.4,4.1,0.329,6,7.4,0.811
15,25.3,5.1,4.7,1.2,0.1,3,9,20,0.451,1.4,4.3,0.323,5.9,7.1,0.828
16,27.9,5.4,4.6,1.2,0.3,3.5,9.9,23,0.43,1.5,4.9,0.303,6.6,7.8,0.845
17,27.3,5.6,6,1.4,0.3,3.7,9.5,20.4,0.463,1.7,5.2,0.324,6.7,8,0.839
18,13.8,4.3,6.3,1.2,0.2,5.7,5.2,12.2,0.425,0.5,2.7,0.188,3,3.5,0.857
19,22.3,5.7,5.6,1.3,0.2,3.7,7.6,20.4,0.373,1.5,5.3,0.293,5.6,6.9,0.813
20,17.6,3.7,2.8,0.9,0.2,2,6,16.9,0.358,2,7.1,0.285,3.5,4.3,0.826
