season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.476,.355,.742,3774,1889,526,429,1102,1431,8663
2018-19,.476,.353,.773,4078,2136,615,486,1137,1608,9686
2017-18,.478,.355,.783,3267,1905,722,443,1134,1752,8731
2016-17,.474,.370,.768,3312,1984,666,436,1145,1660,8497
2015-16,.467,.345,.747,3417,1895,672,475,1247,1695,8122
2014-15,.459,.363,.757,3450,1932,789,403,1373,1814,8023
2013-14,.438,.353,.747,3370,1760,541,403,1238,1713,7829
2012-13,.435,.360,.736,3605,1876,685,550,1156,1554,8108
2011-12,.443,.345,.774,2803,1550,548,335,929,1273,6535
2010-11,.430,.342,.757,3342,1545,617,399,1103,1682,7534
2009-10,.436,.356,.755,3525,1740,580,385,1085,1823,8009
2008-09,.445,.363,.780,3340,1802,609,308,1154,1986,8142
2007-08,.449,.344,.733,3418,1760,544,361,1210,1748,7956
2006-07,.465,.356,.733,3213,1771,587,224,1240,1821,8172
2005-06,.453,.380,.738,3377,1769,597,270,1197,1902,8020
2004-05,.450,.351,.772,3390,1720,529,289,1132,1797,7973
2003-04,.447,.350,.775,3462,1872,554,383,1110,1668,8039
2002-03,.457,.383,.776,3243,1823,622,344,1044,1820,8158
2001-02,.462,.375,.748,3398,1847,596,388,1157,1788,7996
2000-01,.458,.379,.787,3475,1844,672,386,1123,1928,8260
