season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.447,.348,.755,2721,1510,652,265,1005,1417,6945
2018-19,.453,.351,.783,3517,1796,603,351,1159,1663,8605
2017-18,.435,.355,.759,3663,1923,626,289,1147,1571,8440
2016-17,.444,.340,.798,3796,1851,643,393,1112,1455,8435
2015-16,.441,.371,.787,3796,1870,495,470,1141,1545,8335
2014-15,.442,.353,.783,3751,1781,514,476,1145,1495,8265
2013-14,.432,.348,.779,3620,1860,594,424,1223,1565,7680
2012-13,.437,.353,.773,3540,1886,588,417,1171,1617,7641
2011-12,.452,.375,.722,3080,1527,456,388,923,1139,6359
2010-11,.462,.361,.743,3621,1827,592,468,1161,1639,8087
2009-10,.451,.330,.754,3652,1704,531,478,1175,1648,7993
2008-09,.457,.381,.796,3451,1732,615,453,1192,1709,8378
2007-08,.435,.363,.756,3528,1811,635,429,1197,1784,7981
2006-07,.457,.388,.734,3581,1832,639,445,1310,1908,8100
2005-06,.446,.379,.738,3508,1804,508,345,1224,2038,8020
2004-05,.432,.357,.750,3592,1743,576,369,1371,2028,7745
2003-04,.414,.342,.725,3567,1793,659,396,1321,1911,7355
2002-03,.445,.350,.722,3526,1782,605,461,1388,2028,7786
2001-02,.433,.346,.722,3283,1817,633,361,1252,1834,7335
2000-01,.424,.346,.739,3186,1810,675,379,1292,1902,7181
