season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.458,.351,.758,2876,1500,447,211,1073,1188,6948
2018-19,.444,.355,.792,3498,1698,534,195,1106,1642,8567
2017-18,.476,.372,.779,3455,1916,582,312,1126,1524,9091
2016-17,.470,.384,.748,3587,1858,539,327,1121,1486,9048
2015-16,.460,.362,.748,3650,1861,551,317,1114,1666,8555
2014-15,.458,.367,.751,3523,1814,603,340,1171,1510,8457
2013-14,.437,.356,.751,3618,1738,579,304,1163,1640,8054
2012-13,.434,.346,.756,3363,1694,647,334,1149,1737,7913
2011-12,.422,.346,.716,2790,1308,466,262,1017,1317,6140
2010-11,.434,.342,.745,3305,1720,544,341,1166,1648,7827
2009-10,.485,.381,.720,3483,1835,564,425,1137,1591,8373
2008-09,.468,.393,.757,3460,1663,593,435,1045,1663,8223
2007-08,.439,.358,.717,3655,1640,579,427,1145,1712,7903
2006-07,.447,.352,.696,3568,1708,625,353,1177,1781,7934
2005-06,.454,.339,.729,3470,1560,567,392,1137,1733,8002
2004-05,.447,.332,.752,3469,1851,654,461,1141,1850,7914
2003-04,.433,.314,.753,3737,1808,585,537,1216,1743,7619
2002-03,.422,.327,.747,3660,1712,636,521,1501,1864,7495
2001-02,.448,.377,.772,3451,1891,572,470,1196,1752,7812
2000-01,.442,.334,.765,3455,1708,642,436,1350,1904,7561
