season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.466,.371,.791,3431,1708,511,338,1051,1594,8377
2018-19,.471,.388,.792,3732,1970,561,385,1193,1913,9442
2017-18,.471,.354,.743,3598,1832,628,373,1204,1638,8937
2016-17,.475,.375,.745,3528,1848,612,347,1062,1626,8911
2015-16,.465,.364,.692,3448,1873,709,460,1063,1746,8569
2014-15,.473,.376,.710,3495,2031,640,409,1012,1749,8751
2013-14,.474,.352,.730,3526,2016,703,397,1136,1767,8850
2012-13,.478,.358,.711,3413,1958,784,461,1197,1716,8289
2011-12,.455,.357,.680,2743,1385,556,315,879,1399,6438
2010-11,.457,.338,.707,3456,1813,585,402,1343,1733,8089
2009-10,.455,.332,.730,3429,1810,532,466,1285,1581,7849
2008-09,.441,.354,.736,3267,1723,572,482,1221,1650,7799
2007-08,.438,.324,.781,3291,1732,557,398,1180,1745,7692
2006-07,.456,.348,.788,3372,1762,596,472,1239,1858,7843
2005-06,.465,.344,.791,3532,1708,534,503,1185,1872,7970
2004-05,.459,.345,.778,3435,1901,599,422,1290,1819,7849
2003-04,.428,.321,.785,3565,1653,594,376,1344,1816,7771
2002-03,.437,.331,.750,3470,1605,574,461,1291,1784,7693
2001-02,.445,.356,.739,3557,1714,510,540,1214,1624,7846
2000-01,.448,.339,.693,3521,1585,490,513,1293,1775,7581
