season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.468,.347,.763,3397,1965,576,398,1113,1546,8222
2018-19,.450,.342,.772,3426,1963,684,448,1147,1801,8490
2017-18,.444,.352,.786,3323,1767,613,396,1227,1900,8145
2016-17,.435,.354,.784,3507,1744,653,344,1059,1840,8239
2015-16,.440,.331,.783,3413,1697,724,350,1090,1783,8126
2014-15,.458,.339,.773,3490,1777,700,347,1094,1567,8062
2013-14,.464,.353,.741,3476,1792,631,375,1124,1568,7884
2012-13,.444,.345,.773,3504,1715,703,436,1144,1660,7659
2011-12,.447,.326,.759,2775,1290,631,345,955,1316,6269
2010-11,.471,.334,.750,3361,1691,771,441,1145,1705,8195
2009-10,.469,.337,.733,3566,1543,645,399,1248,1655,8404
2008-09,.454,.360,.756,3184,1423,615,385,1252,1777,7698
2007-08,.454,.349,.723,3415,1574,503,386,1251,1592,8257
2006-07,.465,.367,.761,3241,1680,564,407,1343,1827,8331
2005-06,.448,.374,.711,3213,1586,600,442,1134,1757,7558
2004-05,.447,.357,.754,3194,1716,699,476,1197,1910,7661
2003-04,.445,.340,.727,3428,1915,795,565,1226,1903,7930
2002-03,.452,.365,.739,3409,1892,651,500,1262,1678,7995
2001-02,.436,.307,.708,3397,1785,646,488,1344,1571,7372
2000-01,.439,.343,.770,3325,1899,586,359,1291,1733,7522
