season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.449,.333,.790,2898,1605,523,341,1086,1548,7488
2018-19,.451,.352,.752,3780,2118,675,419,1397,1932,9294
2017-18,.446,.360,.785,3436,1946,638,348,1276,1606,8475
2016-17,.451,.341,.728,3635,1938,672,397,1294,1491,8459
2015-16,.458,.350,.783,3451,2100,747,486,1226,1570,8433
2014-15,.466,.380,.778,3326,2111,744,380,1167,1457,8409
2013-14,.458,.363,.781,3278,2041,680,326,1251,1577,8282
2012-13,.464,.371,.715,3351,2007,664,369,1219,1473,8032
2011-12,.454,.370,.740,2718,1481,536,303,921,1178,6375
2010-11,.462,.352,.779,3222,1802,497,341,1118,1554,7790
2009-10,.468,.360,.759,3420,1789,592,413,980,1632,8338
2008-09,.458,.366,.737,3282,1657,603,376,1048,1610,8046
2007-08,.454,.356,.772,3462,1804,600,448,1223,1673,8054
2006-07,.444,.329,.761,3288,1573,609,446,1306,1970,7680
2005-06,.454,.367,.750,3301,1625,587,394,1284,2054,7972
2004-05,.441,.312,.711,3435,1614,629,344,1319,2009,7605
2003-04,.433,.335,.776,3503,1648,627,408,1350,1826,7611
2002-03,.444,.352,.793,3495,1679,611,473,1367,1783,7714
2001-02,.439,.354,.765,3400,1656,667,350,1275,1702,7711
2000-01,.431,.357,.759,3518,1559,634,387,1368,1863,7459
