season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.468,.379,.783,3239,1892,547,332,1088,1501,8179
2018-19,.450,.349,.695,3800,1991,627,448,1208,1712,8668
2017-18,.455,.360,.755,3564,1862,620,437,1179,1648,8480
2016-17,.455,.365,.706,3577,1742,588,469,1102,1680,8460
2015-16,.470,.336,.744,3618,1709,553,531,1155,1502,8204
2014-15,.456,.335,.741,3208,1626,642,372,1214,1636,7764
2013-14,.501,.364,.760,3024,1847,732,367,1212,1596,8380
2012-13,.496,.396,.754,3166,1890,710,441,1143,1533,8436
2011-12,.469,.359,.775,2746,1317,585,355,1002,1282,6500
2010-11,.481,.370,.769,3456,1639,544,430,1142,1674,8369
2009-10,.458,.346,.752,3428,1548,605,457,1079,1710,7914
2008-09,.457,.357,.754,3239,1671,651,451,1026,1696,8061
2007-08,.443,.358,.727,3085,1644,589,355,1202,1670,7491
2006-07,.464,.343,.690,3343,1681,566,442,1201,1749,7759
2005-06,.478,.345,.700,3533,1692,522,442,1186,1871,8191
2004-05,.486,.377,.672,3526,1790,528,474,1127,1814,8327
2003-04,.425,.357,.762,3399,1565,590,313,1137,1812,7402
2002-03,.412,.316,.765,3412,1501,592,324,1167,1856,7016
2001-02,.439,.347,.724,3446,1664,547,448,1217,1846,7150
2000-01,.430,.345,.759,3248,1630,633,304,1122,1726,7289
