season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.434,.352,.748,2781,1549,428,268,949,1223,6687
2018-19,.448,.351,.797,3592,1905,591,405,1001,1550,9081
2017-18,.450,.369,.747,3728,1770,559,373,1041,1409,8874
2016-17,.442,.351,.815,3574,1891,571,390,942,1360,8601
2015-16,.439,.362,.790,3603,1778,595,438,1030,1487,8479
2014-15,.420,.318,.748,3613,1654,499,448,976,1494,7721
2013-14,.442,.351,.737,3500,1778,499,421,1010,1493,7942
2012-13,.425,.335,.750,3306,1587,591,479,1153,1561,7661
2011-12,.414,.295,.746,2571,1326,397,361,957,1249,5739
2010-11,.451,.327,.756,3292,1728,524,433,1192,1637,7650
2009-10,.453,.346,.751,3348,1658,632,446,1290,1597,7813
2008-09,.455,.366,.740,3252,1741,580,397,1279,1754,7677
2007-08,.452,.367,.714,3332,1748,614,402,1204,1777,7959
2006-07,.446,.357,.734,3266,1836,638,369,1224,1985,7945
2005-06,.433,.339,.729,3260,1717,822,354,1167,1960,7943
2004-05,.432,.363,.709,3418,1794,695,440,1192,1894,7729
2001-02,.440,.348,.745,3564,1759,653,456,1150,1747,7700
2000-01,.431,.346,.745,3641,1900,665,455,1183,1753,7539
