season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.471,.380,.779,3233,1615,438,292,1089,1468,8013
2018-19,.468,.356,.736,3801,2133,663,483,1240,1728,9161
2017-18,.462,.366,.779,3547,1839,708,420,1205,1608,8540
2016-17,.466,.372,.747,3545,1651,550,410,1118,1545,8258
2015-16,.449,.355,.744,3545,1555,631,425,1224,1655,8010
2014-15,.447,.343,.721,3605,1632,623,489,1256,1583,7801
2013-14,.444,.344,.747,3381,1664,570,366,1200,1699,7791
2012-13,.454,.366,.764,3446,1859,690,515,1210,1750,8038
2011-12,.456,.323,.754,2916,1439,545,385,936,1441,6577
2010-11,.465,.346,.771,3236,1921,629,484,1175,1865,8153
2009-10,.491,.364,.741,3460,2187,675,400,1246,1859,8547
2008-09,.475,.349,.771,3363,2024,719,374,1210,1830,8492
2007-08,.497,.372,.759,3352,2165,717,355,1200,1970,8710
2006-07,.474,.335,.743,3486,2024,577,339,1277,2067,8322
2005-06,.442,.336,.719,3451,1772,524,492,1290,2032,7573
2004-05,.449,.328,.757,3290,1826,541,374,1292,2189,7625
2003-04,.436,.321,.746,3375,1671,583,494,1365,2096,7271
2002-03,.468,.349,.745,3402,2103,708,467,1374,1837,7762
2001-02,.450,.333,.763,3458,1999,749,523,1353,1971,7871
2000-01,.471,.381,.752,3326,2110,661,463,1296,2107,7959
