season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.462,.364,.770,3067,1713,556,293,1043,1595,7927
2018-19,.464,.378,.726,3725,2083,679,363,1095,1751,9363
2017-18,.450,.375,.735,3355,1768,643,340,1125,1639,8104
2016-17,.461,.376,.775,3367,1844,627,324,1201,1667,8430
2015-16,.464,.359,.725,3628,2009,733,368,1326,1676,8740
2014-15,.455,.341,.762,3623,1667,550,324,1333,1696,8310
2013-14,.447,.333,.759,3646,1547,587,318,1249,1849,8241
2012-13,.447,.363,.769,3328,1708,671,342,1199,1717,8219
2011-12,.436,.316,.736,2829,1271,561,323,952,1287,6518
2010-11,.449,.335,.734,3597,1675,608,391,1324,1805,8151
2009-10,.456,.349,.726,3495,1679,564,366,1226,1827,8200
2008-09,.447,.368,.798,3206,1619,569,349,1266,1910,8248
2007-08,.464,.373,.798,3285,1567,651,334,1317,1839,8408
2006-07,.450,.350,.765,3193,1665,671,265,1194,1792,8303
2005-06,.454,.351,.784,3325,1825,608,299,1199,1672,8106
2004-05,.459,.374,.787,3478,2005,674,316,1073,1685,8505
2003-04,.462,.401,.795,3380,2152,710,325,1137,1586,8433
2002-03,.464,.381,.746,3651,2034,736,457,1192,1666,8342
2001-02,.467,.367,.751,3715,1958,741,375,1128,1560,8578
2000-01,.449,.354,.771,3692,1852,793,432,1221,1596,8343
