season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.447,.337,.694,3069,1456,504,313,946,1464,6983
2018-19,.433,.340,.759,3668,1646,557,422,1151,1713,8575
2017-18,.464,.352,.787,3611,1912,552,421,1207,1682,8566
2016-17,.447,.348,.788,3706,1786,581,455,1139,1668,8556
2015-16,.439,.346,.805,3638,1682,467,466,1099,1616,8065
2014-15,.428,.347,.769,3310,1746,575,382,1206,1768,7535
2013-14,.449,.372,.761,3307,1641,631,367,1063,1815,8084
2012-13,.448,.376,.759,3326,1579,672,294,988,1650,8196
2011-12,.443,.336,.741,2755,1328,622,276,1056,1391,6458
2010-11,.457,.368,.809,3317,1757,625,475,1123,1743,8734
2009-10,.455,.346,.782,3313,1772,586,305,1148,1638,8373
2008-09,.445,.360,.784,3456,1738,610,204,1174,1672,8627
2007-08,.439,.337,.727,3486,1530,521,213,1187,1761,7948
2006-07,.457,.346,.715,3548,1532,543,260,1405,1932,7994
2005-06,.455,.362,.726,3394,1468,555,271,1449,2157,7842
2004-05,.451,.356,.767,3358,1665,629,260,1204,1942,7977
2003-04,.442,.364,.793,3493,1695,608,391,1289,1897,7542
2002-03,.441,.383,.815,3218,1800,579,255,1149,1888,7860
2001-02,.432,.353,.787,3334,1720,558,288,1192,1800,7514
2000-01,.444,.351,.796,3297,1520,545,346,1189,1863,7275
