season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.480,.349,.729,3247,1803,612,468,1077,1471,8054
2018-19,.470,.333,.699,3820,2096,618,440,1284,1701,9165
2017-18,.461,.345,.714,3803,1949,633,388,1295,1736,8862
2016-17,.450,.346,.754,3569,1716,674,320,1243,1698,8575
2015-16,.414,.317,.781,3523,1478,593,337,1124,1662,7982
2014-15,.435,.344,.741,3599,1715,578,366,1086,1741,8073
2013-14,.450,.381,.757,3365,2006,611,446,1239,1627,8442
2012-13,.458,.355,.692,3674,1818,576,429,1232,1467,8381
2011-12,.457,.326,.756,3050,1485,390,351,997,1109,6422
2010-11,.463,.352,.779,3605,1801,602,422,1073,1555,8321
2009-10,.457,.341,.765,3635,1730,612,400,1096,1592,8339
2008-09,.474,.361,.770,3602,1908,718,420,1103,1698,8768
2007-08,.476,.378,.769,3620,2003,654,438,1156,1691,8904
2006-07,.466,.353,.747,3381,1850,600,421,1273,1889,8474
2005-06,.453,.349,.745,3458,1734,628,350,1143,1894,8154
2004-05,.437,.355,.777,3539,1672,508,344,1176,1794,8095
2003-04,.454,.327,.693,3536,1948,682,379,1132,1732,8052
2002-03,.451,.356,.734,3632,1909,639,470,1192,1874,8230
2001-02,.461,.354,.699,3629,1882,625,478,1040,1823,8304
2000-01,.465,.344,.683,3668,1888,564,490,1184,1872,8251
