season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.444,.343,.774,3249,1747,599,396,937,1336,7831
2018-19,.454,.356,.782,3724,2095,543,445,1082,1526,8800
2017-18,.452,.351,.757,3414,1921,622,400,1192,1579,8479
2016-17,.440,.328,.747,3541,1820,580,396,1091,1584,8288
2015-16,.455,.350,.757,3552,1933,673,417,1155,1701,8369
2014-15,.453,.347,.729,3429,1692,647,314,1221,1714,7847
2013-14,.445,.353,.763,3448,1726,630,350,1222,1678,7914
2012-13,.448,.329,.755,3502,1871,528,358,1191,1591,7718
2011-12,.441,.375,.660,2802,1321,451,275,984,1168,6215
2010-11,.461,.366,.692,3543,1636,548,384,1224,1640,8135
2009-10,.470,.375,.724,3546,1615,512,456,1155,1629,8426
2008-09,.457,.381,.715,3547,1593,570,439,1142,1664,8286
2007-08,.474,.386,.721,3445,1706,520,333,1173,1688,8567
2006-07,.472,.356,.702,3338,1525,565,416,1392,1904,7771
2005-06,.472,.376,.730,3294,1495,532,362,1240,1908,7784
2004-05,.454,.349,.759,3582,1583,633,441,1322,1937,8160
2003-04,.429,.344,.737,3353,1584,547,308,1123,1744,7711
2002-03,.436,.357,.777,3350,1676,696,300,1177,1888,8078
2001-02,.448,.373,.754,3382,1804,665,384,1119,1700,8240
2000-01,.438,.364,.714,3519,1803,674,481,1245,2071,7992
