season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.461,.367,.779,3520,1849,460,363,953,1462,8776
2018-19,.447,.340,.742,3716,1918,533,351,1167,1650,8927
2017-18,.444,.360,.763,3383,1858,578,310,1008,1578,8390
2016-17,.440,.355,.801,3163,1705,614,307,972,1567,8029
2015-16,.444,.344,.794,3532,1813,560,306,1047,1595,8388
2014-15,.463,.352,.752,3466,1846,663,371,1062,1644,8628
2013-14,.474,.384,.795,3354,1935,704,356,1110,1636,8597
2012-13,.462,.372,.793,3437,1906,648,454,1144,1698,8293
2011-12,.443,.339,.771,2822,1380,565,337,926,1226,6322
2010-11,.475,.365,.777,3398,1954,557,352,1145,1575,8220
2009-10,.464,.372,.816,3420,1917,624,449,1059,1563,8364
2008-09,.462,.350,.819,3504,1779,591,429,1043,1600,8343
2007-08,.464,.352,.814,3526,1720,490,402,1037,1786,8234
2006-07,.467,.381,.805,3435,1632,560,408,1140,1837,8201
2005-06,.462,.374,.783,3461,1473,593,488,1112,1834,8130
2004-05,.457,.364,.789,3520,1610,708,461,1102,1827,8405
2003-04,.459,.348,.796,3712,1963,656,437,1000,1609,8626
2002-03,.453,.381,.829,3456,1837,665,449,949,1730,8444
2001-02,.462,.378,.806,3486,1811,581,392,992,1842,8629
2000-01,.459,.381,.794,3402,1740,618,492,1141,1907,8239
