season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.448,.343,.745,3449,1761,464,323,1099,1510,8048
2018-19,.449,.353,.745,3819,1954,539,339,1236,1763,9204
2017-18,.441,.356,.772,3644,1941,512,390,1245,1688,8741
2016-17,.444,.338,.788,3600,1756,593,387,1356,1726,8673
2015-16,.453,.352,.757,3477,1829,627,332,1212,1476,8089
2014-15,.451,.331,.748,3473,1716,576,340,1133,1579,8038
2013-14,.459,.369,.753,3128,1714,705,311,1191,1777,8079
2012-13,.450,.357,.731,3507,1668,599,391,1206,1500,7944
2011-12,.425,.342,.777,2662,1311,493,260,995,1268,6144
2010-11,.440,.343,.759,3349,1723,458,384,1152,1807,7722
2009-10,.429,.318,.780,3255,1540,573,393,1182,1643,7575
2008-09,.448,.376,.779,3265,1636,559,391,1075,1838,8044
2007-08,.443,.348,.736,3433,1925,521,390,1229,1855,7857
2006-07,.457,.363,.727,3347,1962,499,273,1212,1869,8001
2005-06,.440,.330,.758,3361,1884,558,278,1119,1903,7691
2004-05,.429,.362,.763,3242,1772,650,308,1164,1985,7496
2003-04,.441,.336,.753,3335,2009,709,322,1209,1722,7401
2002-03,.441,.332,.757,3519,1887,717,374,1212,1772,7820
2001-02,.446,.338,.735,3554,1990,716,490,1189,1734,7889
2000-01,.425,.333,.759,3246,1603,649,407,1208,1982,7552
