season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.473,.359,.777,3222,1952,586,337,1005,1485,8124
2018-19,.466,.351,.755,3804,2245,634,363,1102,1644,9075
2017-18,.470,.371,.767,3650,2059,627,404,1227,1533,9020
2016-17,.469,.368,.774,3803,2077,568,323,1226,1567,9161
2015-16,.442,.338,.766,3659,1858,609,395,1202,1723,8355
2014-15,.433,.325,.734,3665,1788,641,367,1166,1882,8320
2013-14,.447,.358,.726,3726,1838,615,459,1305,1890,8559
2012-13,.478,.343,.701,3693,2002,762,533,1253,1682,8704
2011-12,.476,.332,.735,2843,1581,540,330,1015,1297,6872
2010-11,.476,.388,.765,3443,1813,605,352,1157,1719,8811
2009-10,.468,.359,.772,3394,1719,683,417,1136,1844,8729
2008-09,.470,.371,.760,3412,1820,710,492,1257,1874,8555
2007-08,.470,.355,.751,3616,2024,752,551,1203,1731,9074
2006-07,.465,.336,.746,3559,1920,678,435,1352,1756,8639
2005-06,.461,.325,.744,3389,1921,698,463,1216,1863,8227
2004-05,.459,.340,.763,3440,1958,750,489,1224,1878,8161
2003-04,.443,.336,.767,3470,1794,745,520,1278,1804,7972
2002-03,.411,.278,.699,3475,1737,712,422,1514,2056,6901
2001-02,.424,.329,.744,3427,1817,613,462,1205,1873,7559
2000-01,.433,.355,.737,3627,1970,552,538,1136,1820,7918
