season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.476,.363,.787,3125,1888,543,376,967,1445,7989
2018-19,.475,.374,.752,3528,2128,713,404,1122,1594,8857
2017-18,.472,.369,.779,3472,1819,721,340,1089,1544,8656
2016-17,.465,.376,.810,3444,1844,669,409,1130,1597,8618
2015-16,.450,.351,.764,3626,1741,742,391,1219,1641,8377
2014-15,.439,.352,.756,3678,1757,505,375,1147,1742,7981
2013-14,.449,.357,.779,3665,1651,550,446,1237,1675,7933
2012-13,.436,.347,.746,3714,1645,580,513,1227,1623,7674
2011-12,.438,.368,.782,2896,1228,523,357,925,1430,6449
2010-11,.442,.354,.782,3571,1611,584,456,1262,1782,8183
2009-10,.443,.348,.775,3403,1730,585,439,1232,1848,8263
2008-09,.455,.378,.807,3585,1775,573,434,1189,1895,8617
2007-08,.444,.374,.768,3537,1864,623,412,1236,1921,8527
2006-07,.438,.346,.760,3431,1680,599,447,1335,1912,7840
2005-06,.444,.349,.737,3457,1631,598,409,1254,1821,7699
2004-05,.432,.344,.792,3286,1489,615,357,1173,1890,7626
2003-04,.435,.351,.764,3417,1774,726,411,1182,1709,7493
2002-03,.441,.339,.766,3626,1910,696,443,1210,1811,7940
2001-02,.446,.339,.772,3498,1884,658,436,1249,1876,7938
2000-01,.440,.342,.766,3516,1763,563,487,1244,1926,7591
