season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.465,.370,.729,3348,1932,539,358,1181,1524,8341
2018-19,.473,.344,.761,3878,2216,610,441,1215,1732,9466
2017-18,.483,.362,.772,3636,2195,657,485,1223,1570,9161
2016-17,.450,.350,.750,3582,1869,638,453,1054,1490,8556
2015-16,.448,.360,.776,3494,1818,633,342,1102,1713,8423
2014-15,.457,.370,.751,3563,1806,553,510,1087,1530,8147
2013-14,.459,.373,.769,3419,1745,647,523,1129,1857,8177
2012-13,.448,.363,.776,3414,1721,520,440,1193,1673,7714
2011-12,.451,.333,.757,2715,1368,488,316,1024,1324,5916
2010-11,.459,.360,.765,3292,1691,624,359,1069,1719,7784
2009-10,.464,.363,.778,3302,1828,625,300,1103,1606,8220
2008-09,.457,.364,.807,3255,1609,593,338,1029,1665,7857
2007-08,.466,.389,.769,3431,1785,637,321,974,1531,8270
2006-07,.445,.362,.740,3537,1537,522,347,1187,1620,7833
2005-06,.440,.339,.758,3297,1519,611,311,1095,1786,7611
2004-05,.415,.315,.766,3300,1724,550,310,1217,1883,7252
2003-04,.420,.319,.751,3509,1716,708,346,1228,1715,7529
2002-03,.435,.376,.768,3572,1807,656,394,1212,1769,7699
