season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.459,.367,.743,2753,1589,490,299,1008,1299,7078
2018-19,.440,.348,.747,3688,1845,569,331,1135,1811,8778
2017-18,.450,.373,.745,3586,1868,628,317,1103,1508,8509
2016-17,.449,.330,.719,3746,1732,574,310,973,1467,8309
2015-16,.439,.345,.668,3798,1594,573,304,1110,1557,8361
2014-15,.432,.344,.703,3681,1771,623,383,1099,1559,8077
2013-14,.447,.321,.670,3721,1714,687,395,1193,1666,8286
2012-13,.449,.356,.699,3454,1742,574,400,1241,1623,7778
2011-12,.438,.346,.752,2657,1232,460,278,1033,1293,5997
2010-11,.460,.376,.737,3167,1730,595,328,1067,1629,7951
2009-10,.445,.314,.728,3295,1591,596,313,1100,1822,7709
2008-09,.454,.349,.751,3397,1689,493,377,973,1712,7727
2007-08,.458,.366,.767,3397,1831,583,472,956,1688,7992
2006-07,.454,.344,.774,3322,1768,583,472,1001,1672,7872
2005-06,.455,.384,.727,3322,1971,580,490,931,1513,7941
2004-05,.444,.345,.739,3561,1787,576,497,1133,1638,7653
2003-04,.435,.344,.753,3506,1702,659,570,1241,1664,7388
2002-03,.430,.358,.771,3328,1620,556,468,1104,1748,7492
2001-02,.452,.376,.756,3176,1765,648,565,1193,1695,7735
2000-01,.424,.350,.721,3734,1629,613,447,1304,1955,7837
