season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.458,.374,.796,3268,1816,636,358,1067,1559,8118
2018-19,.474,.366,.804,3706,2085,680,437,1150,1724,9384
2017-18,.472,.358,.794,3607,1995,626,500,1095,1783,9156
2016-17,.464,.363,.796,3547,1517,677,400,1041,1708,8762
2015-16,.451,.370,.777,3560,1536,636,449,1073,1610,8422
2014-15,.455,.352,.787,3407,1701,615,357,1057,1712,8527
2013-14,.445,.372,.782,3487,1737,577,343,1159,1882,8305
2012-13,.446,.343,.788,3297,1765,595,392,1124,1836,7971
2011-12,.440,.340,.770,2771,1382,429,321,1001,1532,5986
2010-11,.465,.316,.755,3306,1795,581,350,1206,1807,8124
2009-10,.482,.371,.764,3313,1804,469,384,1100,1819,8534
2008-09,.458,.372,.824,3315,1835,523,390,1098,1593,8121
2007-08,.468,.392,.812,3286,1953,570,336,959,1596,8215
2006-07,.463,.363,.788,3235,1822,581,321,1104,1672,8157
2005-06,.454,.375,.791,3155,1593,529,272,1071,1965,8287
2004-05,.444,.385,.774,3288,1670,621,317,1087,1876,8178
2003-04,.418,.356,.750,3249,1574,604,402,1164,1748,7006
2002-03,.427,.343,.718,3378,1583,609,392,1181,1761,7453
2001-02,.434,.349,.739,3450,1779,688,454,1174,1771,7494
2000-01,.437,.369,.747,3647,2004,599,519,1080,1745,8007
