season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.451,.345,.791,3188,1557,627,371,1057,1566,8482
2018-19,.449,.356,.791,3449,1741,700,405,1094,1803,9341
2017-18,.460,.362,.781,3564,1767,699,392,1135,1597,9213
2016-17,.462,.357,.766,3638,2070,670,352,1240,1634,9458
2015-16,.452,.347,.694,3531,1821,821,430,1307,1790,8737
2014-15,.444,.348,.715,3582,1820,777,407,1366,1803,8522
2013-14,.472,.358,.712,3717,1755,621,461,1323,1676,8829
2012-13,.461,.366,.754,3561,1902,679,359,1348,1662,8688
2011-12,.449,.359,.782,2783,1404,496,319,955,1347,6474
2010-11,.454,.367,.801,3511,1955,581,371,1110,1641,8685
2009-10,.447,.351,.772,3442,1790,583,318,1188,1712,8395
2008-09,.453,.375,.805,3524,1662,548,355,1158,1553,8070
2007-08,.448,.342,.726,3661,1757,598,420,1125,1609,7931
2006-07,.445,.372,.753,3553,1704,583,337,1162,1710,7953
2005-06,.433,.332,.759,3414,1580,588,320,1193,1863,7387
2004-05,.443,.364,.781,3475,1733,563,378,1135,1807,7796
2003-04,.442,.366,.773,3494,1579,560,443,1373,1762,7362
2002-03,.440,.346,.768,3588,1506,594,493,1276,1602,7688
2001-02,.428,.335,.741,3436,1482,537,445,1156,1476,7572
2000-01,.453,.357,.758,3443,1613,587,358,1204,1657,7972
