season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.472,.376,.810,3170,1751,518,390,895,1377,8098
2018-19,.478,.392,.819,3667,2013,501,386,992,1487,9156
2017-18,.457,.352,.772,3626,1868,628,460,1078,1408,8424
2016-17,.469,.391,.797,3598,1954,655,484,1101,1498,8637
2015-16,.484,.375,.803,3601,2010,677,485,1071,1433,8490
2014-15,.468,.367,.780,3578,2000,657,444,1146,1564,8461
2013-14,.486,.397,.785,3548,2064,604,420,1180,1495,8639
2012-13,.481,.376,.791,3387,2058,695,446,1206,1427,8448
2011-12,.478,.393,.748,2836,1528,490,293,895,1143,6841
2010-11,.475,.397,.767,3432,1836,602,372,1101,1556,8502
2009-10,.473,.358,.740,3508,1829,516,381,1116,1669,8312
2008-09,.466,.386,.761,3366,1736,474,329,963,1546,7958
2007-08,.457,.369,.761,3383,1718,521,337,1035,1537,7820
2006-07,.474,.381,.751,3338,1814,587,417,1137,1588,8079
2005-06,.472,.385,.702,3399,1717,543,467,1126,1714,7837
2004-05,.453,.363,.724,3476,1771,613,543,1126,1717,7888
2003-04,.442,.358,.681,3698,1676,661,537,1203,1667,7501
2002-03,.462,.354,.725,3495,1636,629,529,1295,1672,7856
2001-02,.458,.362,.742,3473,1643,625,537,1180,1575,7932
2000-01,.461,.407,.715,3614,1778,568,576,1145,1551,7886
