season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.468,.358,.834,3177,1987,559,290,1077,1609,8294
2018-19,.459,.329,.779,3311,1957,735,418,1279,1932,8815
2017-18,.442,.334,.741,3618,1743,569,370,1289,1807,8522
2016-17,.450,.332,.776,3688,1604,673,399,1265,2030,8831
2015-16,.435,.348,.751,3676,1701,632,313,1410,1858,8271
2014-15,.452,.341,.760,3539,1659,700,385,1238,1744,8397
2013-14,.463,.372,.758,3529,1563,688,374,1258,1798,8629
2012-13,.443,.330,.744,3413,1855,659,434,1278,1688,7805
2011-12,.458,.343,.757,2752,1486,431,366,928,1233,6492
2010-11,.470,.377,.759,3299,1945,545,357,1169,1666,8611
2009-10,.492,.412,.770,3526,1912,479,418,1210,1713,9039
2008-09,.504,.383,.744,3420,1905,589,420,1288,1691,8974
2007-08,.500,.393,.783,3403,2188,532,518,1184,1633,9026
2006-07,.494,.399,.808,3320,2122,553,394,1189,1659,9037
2005-06,.479,.399,.806,3428,2179,549,412,1088,1683,8886
2004-05,.477,.393,.748,3619,1927,572,453,1125,1563,9054
2003-04,.443,.345,.746,3330,1586,734,383,1249,1862,7723
2002-03,.443,.343,.742,3489,1719,665,404,1208,1801,7834
2001-02,.447,.327,.767,3502,1838,668,401,1205,1785,7802
2000-01,.436,.315,.755,3499,1905,775,429,1250,1864,7710
