season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.468,.355,.796,3088,1562,550,353,986,1390,7950
2018-19,.454,.348,.713,3942,1917,766,425,1145,1839,9387
2017-18,.453,.354,.716,3695,1750,743,412,1147,1653,8844
2016-17,.452,.327,.745,3823,1721,648,408,1230,1715,8741
2015-16,.476,.349,.782,3987,1883,603,487,1305,1691,9038
2014-15,.447,.339,.754,3896,1681,598,454,1205,1829,8524
2013-14,.471,.361,.806,3668,1794,678,501,1256,1858,8705
2012-13,.481,.377,.828,3579,1753,679,624,1253,1654,8669
2011-12,.471,.358,.806,2883,1224,498,539,1079,1352,6802
2010-11,.464,.347,.823,3507,1672,654,487,1156,1836,8596
2009-10,.462,.340,.805,3567,1639,654,481,1227,1743,8322
2008-09,.447,.346,.786,3496,1663,608,371,1330,1655,7952
2007-08,.444,.333,.770,3659,1748,531,400,1310,1680,7999
2006-07,.460,.362,.791,3250,1695,631,301,1268,1801,8130
2005-06,.459,.371,.785,3246,1696,622,306,1208,1933,8411
2004-05,.444,.365,.790,3352,1487,553,338,1113,1944,8113
2003-04,.446,.373,.765,3225,1782,661,387,1188,1784,7964
2002-03,.437,.353,.744,3348,1775,679,295,1085,1712,7555
2001-02,.469,.378,.755,3301,1926,698,364,1124,1732,8014
2000-01,.456,.399,.732,3421,1792,657,409,1252,1733,7978
