season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.441,.336,.753,2868,1525,555,362,981,1370,7248
2018-19,.456,.351,.787,3673,2018,683,411,1074,1664,9223
2017-18,.476,.357,.804,3441,1861,689,345,1021,1495,8980
2016-17,.467,.349,.799,3478,1940,654,370,1150,1646,8657
2015-16,.464,.338,.792,3408,1916,656,375,1231,1696,8398
2014-15,.438,.332,.776,3355,1771,668,327,1231,1571,8016
2013-14,.444,.341,.778,3668,1963,718,297,1142,1504,8768
2012-13,.439,.305,.742,3446,1836,700,387,1214,1509,7851
2011-12,.433,.332,.771,2886,1290,436,293,1001,1212,6464
2010-11,.441,.376,.768,3641,1650,592,422,1398,1825,8288
2009-10,.449,.341,.746,3518,1626,597,306,1333,1699,8051
2008-09,.441,.353,.769,3417,1674,512,322,1165,1785,8019
2007-08,.451,.350,.736,3392,1630,616,306,1188,1885,7839
2006-07,.461,.353,.792,3293,1848,532,325,1278,1758,7877
2005-06,.456,.329,.758,3233,1716,559,471,1189,1889,7522
2004-05,.459,.345,.796,3527,1918,460,447,1079,1774,7934
2003-04,.462,.363,.781,3520,1890,561,462,1043,1731,7753
2002-03,.466,.368,.770,3573,2070,553,433,1124,1704,8046
2001-02,.461,.378,.798,3621,1993,524,427,1097,1739,8145
2000-01,.458,.357,.785,3472,2083,682,456,1136,1900,7982
