season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.438,.334,.803,2785,1663,534,299,969,1304,6912
2018-19,.491,.385,.801,3787,2413,625,525,1169,1757,9650
2017-18,.503,.391,.815,3568,2402,656,612,1267,1607,9304
2016-17,.495,.383,.788,3643,2491,785,555,1211,1585,9503
2015-16,.487,.416,.763,3788,2373,689,498,1245,1701,9421
2014-15,.478,.398,.768,3667,2248,762,496,1185,1628,9016
2013-14,.462,.380,.753,3715,1912,642,407,1247,1784,8549
2012-13,.458,.403,.790,3686,1845,567,346,1236,1753,8296
2011-12,.457,.388,.770,2587,1470,528,362,915,1410,6453
2010-11,.461,.392,.761,3325,1847,737,406,1198,1806,8477
2009-10,.469,.375,.782,3150,1839,761,340,1204,1886,8922
2008-09,.458,.373,.791,3445,1711,638,527,1201,1842,8905
2007-08,.459,.348,.752,3541,1833,744,377,1082,1875,9105
2006-07,.463,.356,.717,3396,1950,750,466,1309,1933,8737
2005-06,.433,.341,.718,3465,1694,604,357,1156,1941,8076
2004-05,.430,.352,.722,3505,1811,642,420,1112,1833,8094
2003-04,.442,.334,.725,3535,1681,576,389,1211,1691,7649
2002-03,.441,.344,.778,3830,1712,594,506,1295,1786,8400
2001-02,.429,.322,.722,3827,1706,650,523,1378,1884,8009
2000-01,.409,.293,.706,3730,1788,742,410,1301,1727,7584
