season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.457,.368,.788,3027,1801,574,309,1020,1634,8238
2018-19,.468,.341,.768,3473,2154,683,379,1154,1701,9350
2017-18,.467,.375,.772,3536,2065,645,353,1196,1746,8742
2016-17,.475,.372,.784,3514,1956,693,336,1162,1745,8953
2015-16,.460,.358,.730,3431,2005,708,323,1186,1708,8534
2014-15,.462,.360,.742,3663,1969,601,378,1233,1707,8080
2013-14,.459,.380,.731,3459,1909,668,377,1204,1675,8254
2012-13,.435,.365,.733,3539,1775,598,376,1238,1681,7644
2011-12,.441,.320,.727,2750,1262,527,417,1008,1405,6180
2010-11,.443,.332,.745,3387,1592,665,502,1258,1850,7977
2009-10,.449,.353,.762,3424,1557,493,421,1219,1752,7892
2008-09,.450,.330,.767,3286,1641,619,365,1146,1679,7877
2007-08,.446,.356,.782,3411,1607,632,391,1082,1606,8104
2006-07,.450,.348,.765,3377,1660,635,375,1133,1823,8556
2005-06,.447,.357,.757,3379,1523,658,339,1143,1855,8336
2004-05,.437,.343,.725,3507,1563,716,347,1172,1807,8241
2003-04,.421,.341,.714,3507,1537,733,406,1439,1712,7528
2002-03,.440,.312,.779,3312,1612,621,390,1095,1644,7502
2001-02,.441,.388,.765,3448,1715,570,354,1068,1763,7609
2000-01,.439,.324,.759,3386,1647,630,383,1391,1913,7645
